Day,Tmax (F),Td,Wind(mph),Wind(kt),Cloud-condition,K,Tmin Forecast,Tmin Verified
9/16,75,54,7,6.082832,Overcast,2.5,62,60.1
9/17,68,64,7,6.082832,Overcast,2.5,63.5,64
9/18,86,62.1,5,4.34488,Few clouds,7,67.05,69.1
9/19,89.1,59,0,0,Few clouds,8.5,65.55,75
9/20,80.1,63,9,7.820784,Mostly cloudy,2,69.55,71.1
9/21,73.9,62.1,9,7.820784,Mostly cloudy,2,66,64.9
9/22,79,63,7,6.082832,Partly cloudy,7,64,63
9/23,84.9,64,6,5.213856,Partly cloudy,7,67.45,66
9/24,78.1,70,5,4.34488,Overcast,2.5,71.55,73
9/25,82,68,8,6.951808,Mostly cloudy,2,73,66.9
9/26,84,62.1,5,4.34488,Mostly Cloudy,2,71.05,66
9/27,77,60.1,6,5.213856,Overcast,2.5,66.05,68
9/28,84.9,57.9,5,4.34488,Partly Cloudy,7,64.4,64
9/29,79,62.1,6,5.213856,Overcast,2.5,68.05,63